Variable,Mean,Median,Interpretation
countryid,439.53,439.0,countryid is relatively balanced across countries.
year,2020.08,2021.0,year has a highly left-skewed distribution.
ama_exchange_rate,1270.42,8.3,ama_exchange_rate has a highly right-skewed distribution. A small number of countries have exceptionally high values.
imf_based_exchange_rate,931.62,8.58,imf_based_exchange_rate has a highly right-skewed distribution. A small number of countries have exceptionally high values.
population,37826603.24,7091318.5,population has a highly right-skewed distribution. A small number of countries have exceptionally high values.
per_capita_gni,17570.83,6483.5,per_capita_gni has a highly right-skewed distribution. A small number of countries have exceptionally high values.
agriculture_hunting_forestry_fishing_,20010095402.39,2663295502.0,agriculture_hunting_forestry_fishing_ has a highly right-skewed distribution. A small number of countries have exceptionally high values.
changes_in_inventories,4031928309.18,342654696.0,changes_in_inventories has a highly right-skewed distribution. A small number of countries have exceptionally high values.
construction_,24480072285.21,1413215795.0,construction_ has a highly right-skewed distribution. A small number of countries have exceptionally high values.
exports_of_goods_and_services,126338021823.27,9915473804.0,exports_of_goods_and_services has a highly right-skewed distribution. A small number of countries have exceptionally high values.
final_consumption_expenditure,317648857691.65,21746541433.5,final_consumption_expenditure has a highly right-skewed distribution. A small number of countries have exceptionally high values.
general_government_final_consumption_expenditure,75755152556.97,4303314920.0,general_government_final_consumption_expenditure has a highly right-skewed distribution. A small number of countries have exceptionally high values.
gross_capital_formation,118882524477.8,6377385153.0,gross_capital_formation has a highly right-skewed distribution. A small number of countries have exceptionally high values.
gross_fixed_capital_formation_,115827818929.17,6030055500.0,gross_fixed_capital_formation_ has a highly right-skewed distribution. A small number of countries have exceptionally high values.
household_consumption_expenditure_,242963449429.46,16845415414.0,household_consumption_expenditure_ has a highly right-skewed distribution. A small number of countries have exceptionally high values.
imports_of_goods_and_services,122501134693.85,11082493159.0,imports_of_goods_and_services has a highly right-skewed distribution. A small number of countries have exceptionally high values.
manufacturing_,71411250744.12,3279906683.5,manufacturing_ has a highly right-skewed distribution. A small number of countries have exceptionally high values.
mining_manufacturing_utilities_,95205642766.65,5966761081.5,mining_manufacturing_utilities_ has a highly right-skewed distribution. A small number of countries have exceptionally high values.
other_activities_,185215038524.93,8633529234.5,other_activities_ has a highly right-skewed distribution. A small number of countries have exceptionally high values.
total_value_added,420766972235.58,24879960670.0,total_value_added has a highly right-skewed distribution. A small number of countries have exceptionally high values.
transport_storage_and_communication_,38717749775.51,2050475826.0,transport_storage_and_communication_ has a highly right-skewed distribution. A small number of countries have exceptionally high values.
wholesale_retail_trade_restaurants_and_hotels_,57669057338.06,3885970151.0,wholesale_retail_trade_restaurants_and_hotels_ has a highly right-skewed distribution. A small number of countries have exceptionally high values.
gross_national_income,440340480651.89,26089956375.5,gross_national_income has a highly right-skewed distribution. A small number of countries have exceptionally high values.
gross_domestic_product_,440440190606.89,28016641859.0,gross_domestic_product_ has a highly right-skewed distribution. A small number of countries have exceptionally high values.
export_dependency,0.43,0.34,export_dependency has a highly right-skewed distribution. A small number of countries have exceptionally high values.
import_dependency,0.5,0.42,import_dependency has a highly right-skewed distribution. A small number of countries have exceptionally high values.
trade_openness,0.93,0.79,trade_openness has a highly right-skewed distribution. A small number of countries have exceptionally high values.
investment_ratio,0.24,0.23,investment_ratio is relatively balanced across countries.
government_share,0.19,0.17,government_share has a highly right-skewed distribution. A small number of countries have exceptionally high values.
household_share,0.63,0.62,household_share is relatively balanced across countries.
agriculture_share,0.11,0.07,agriculture_share has a highly right-skewed distribution. A small number of countries have exceptionally high values.
services_share,0.34,0.32,services_share is relatively balanced across countries.
gdp_per_person,17956.3,6498.04,gdp_per_person has a highly right-skewed distribution. A small number of countries have exceptionally high values.
investment_per_person,4228.7,1498.98,investment_per_person has a highly right-skewed distribution. A small number of countries have exceptionally high values.
exports_per_person,11626.55,2125.04,exports_per_person has a highly right-skewed distribution. A small number of countries have exceptionally high values.
imports_per_person,10643.19,2714.29,imports_per_person has a highly right-skewed distribution. A small number of countries have exceptionally high values.
