Variable,Coefficient of Variation
ama_exchange_rate,6.302
other_activities_,5.341
manufacturing_,5.329
gross_fixed_capital_formation_,5.321
gross_capital_formation,5.263
transport_storage_and_communication_,5.129
agriculture_hunting_forestry_fishing_,5.036
household_consumption_expenditure_,4.967
wholesale_retail_trade_restaurants_and_hotels_,4.876
mining_manufacturing_utilities_,4.852
total_value_added,4.842
final_consumption_expenditure,4.765
gross_national_income,4.688
gross_domestic_product_,4.654
construction_,4.497
imf_based_exchange_rate,4.273
general_government_final_consumption_expenditure,4.228
changes_in_inventories,4.068
population,3.732
imports_of_goods_and_services,3.008
exports_of_goods_and_services,2.898
exports_per_person,2.379
imports_per_person,2.151
per_capita_gni,1.618
investment_per_person,1.605
gdp_per_person,1.603
agriculture_share,1.043
export_dependency,0.798
trade_openness,0.658
import_dependency,0.604
government_share,0.587
countryid,0.579
services_share,0.356
investment_ratio,0.353
household_share,0.288
year,0.003
