,Count,Mean,Standard Deviation,Minimum,Q1,Median,Q3,Maximum,Range,IQR,Coefficient_of_Variation,Skewness,Kurtosis,Missing Values,Missing Percentage
countryid,220.0,439.5318181818182,254.3906209436118,4.0,217.0,439.0,660.5,894.0,890.0,443.5,0.5787763488794336,-0.0013966186641835867,-1.1694742742373505,0,0.0
year,220.0,2020.0772727272727,5.058419611536401,1990.0,2021.0,2021.0,2021.0,2021.0,31.0,0.0,0.002504072334177154,-5.599598885621503,30.247606021381706,0,0.0
ama_exchange_rate,220.0,1270.4199271740638,8006.0848242440725,0.301643111,1.33122426,8.303334853500001,138.9955702,111636.6283,111636.326656889,137.66434594,6.301920060442453,12.320649137411444,167.08578335430946,0,0.0
imf_based_exchange_rate,220.0,931.6180715990184,3980.424567947552,0.301643111,1.33122426,8.583283358,138.9955702,42000.0,41999.698356889,137.66434594,4.272592695755244,7.213623353427103,61.450882488303336,0,0.0
population,220.0,37826603.236363634,141163426.18540442,4417.0,1272254.0,7091318.5,27268533.25,1425893465.0,1425889048.0,25996279.25,3.7318557340010003,8.713207287403518,82.66079060791942,0,0.0
per_capita_gni,220.0,17570.831818181818,28426.523690826176,138.0,2215.25,6483.5,20579.75,234317.0,234179.0,18364.5,1.6178245847991775,3.9233480602190514,22.352869429061663,0,0.0
agriculture_hunting_forestry_fishing_,217.0,20010095402.391705,100772289630.26839,232469.0,397588790.0,2663295502.0,8215737103.0,1350000000000.0,1349999767531.0,7818148313.0,5.0360724226344065,11.431715874658082,144.79600393340078,3,1.36
changes_in_inventories,168.0,4031928309.1845236,16403584012.627224,-20823814374.0,1126159.5,342654696.0,2114343570.0,171000000000.0,191823814374.0,2113217410.5,4.068421547888317,7.420506493403671,68.08162099493451,52,23.64
construction_,220.0,24480072285.213634,110096280660.0444,4493067.0,265846155.5,1413215795.0,10376181331.5,1240000000000.0,1239995506933.0,10110335176.0,4.4973838057882025,9.032605477390506,89.88927715071247,0,0.0
exports_of_goods_and_services,218.0,126338021823.26605,366162790422.72314,7329761.0,1775497770.0,9915473804.0,55606452731.0,3530000000000.0,3529992670239.0,53830954961.0,2.8982786427901126,5.996946783792161,45.11508883556545,2,0.91
final_consumption_expenditure,220.0,317648857691.64545,1513530338554.894,92442786.0,4768945041.75,21746541433.5,123000000000.0,19300000000000.0,19299907557214.0,118231054958.25,4.7647907489852805,10.283461323497809,120.02707686321845,0,0.0
general_government_final_consumption_expenditure,219.0,75755152556.9726,320266609286.8145,40894791.0,1006441285.0,4303314920.0,30592627715.0,3350000000000.0,3349959105209.0,29586186430.0,4.227654469390106,8.176936184589929,74.73354188490525,1,0.45
gross_capital_formation,219.0,118882524477.79909,625735593097.8077,16406317.0,1220148709.5,6377385153.0,47263207347.5,7600000000000.0,7599983593683.0,46043058638.0,5.26347834424278,10.061831252386705,109.73453832995783,1,0.45
gross_fixed_capital_formation_,219.0,115827818929.17352,616336111544.584,16406317.0,1159092505.0,6030055500.0,41750376284.5,7430000000000.0,7429983593683.0,40591283779.5,5.321140614082197,10.01519424836232,108.2672651476767,1,0.45
household_consumption_expenditure_,219.0,242963449429.45663,1206888020456.8882,36555798.0,3716443311.0,16845415414.0,98819986841.5,15900000000000.0,15899963444202.0,95103543530.5,4.967364528660525,10.937324199621754,134.7724769778287,1,0.45
imports_of_goods_and_services,218.0,122501134693.84862,368484631376.88696,56973355.0,2638726145.25,11082493159.0,59804524910.25,3400000000000.0,3399943026645.0,57165798765.0,3.0080099445429087,6.324638638272226,48.22450186458372,2,0.91
manufacturing_,220.0,71411250744.11818,380554838906.743,560350.0,389502503.0,3279906683.5,22189546842.25,4870000000000.0,4869999439650.0,21800044339.25,5.329059986224755,10.544493071027464,123.62444701313713,0,0.0
