country,gross_domestic_product_
 United States ,23300000000000.0
 China ,17700000000000.0
 Japan ,4940000000000.0
 Germany ,4260000000000.0
 India ,3200000000000.0
 United Kingdom ,3130000000000.0
 France ,2960000000000.0
 Italy ,2110000000000.0
 Canada ,1990000000000.0
 Republic of Korea ,1810000000000.0
 Russian Federation ,1780000000000.0
 Australia ,1730000000000.0
 Brazil ,1610000000000.0
 Spain ,1430000000000.0
 Mexico ,1270000000000.0
 Indonesia ,1190000000000.0
 Netherlands ,1010000000000.0
 Saudi Arabia ,834000000000.0
 Türkiye ,819000000000.0
 Switzerland ,813000000000.0
 Poland ,679000000000.0
 Sweden ,636000000000.0
 Iran (Islamic Republic of) ,595000000000.0
 Belgium ,594000000000.0
 Thailand ,506000000000.0
 Ireland ,504000000000.0
 Argentina ,487000000000.0
 Israel ,482000000000.0
 Norway ,482000000000.0
 Austria ,480000000000.0
 Nigeria ,431000000000.0
 Egypt ,426000000000.0
 South Africa ,419000000000.0
 Bangladesh ,415000000000.0
 United Arab Emirates ,405000000000.0
 Denmark ,398000000000.0
 Singapore ,397000000000.0
 Philippines ,394000000000.0
 Malaysia ,373000000000.0
" China, Hong Kong SAR ",369000000000.0
 Viet Nam ,366000000000.0
 Pakistan ,343000000000.0
 Chile ,317000000000.0
 Colombia ,314000000000.0
 Finland ,297000000000.0
 Romania ,284000000000.0
 Czechia ,282000000000.0
 Portugal ,254000000000.0
 New Zealand ,250000000000.0
 Peru ,223000000000.0
 Greece ,215000000000.0
 Iraq ,204000000000.0
 Ukraine ,200000000000.0
 Kazakhstan ,193000000000.0
 Hungary ,182000000000.0
 Qatar ,180000000000.0
 Algeria ,163000000000.0
 Morocco ,143000000000.0
 Kuwait ,137000000000.0
 Cuba ,127000000000.0
 Slovakia ,117000000000.0
 Venezuela (Bolivarian Republic of) ,112000000000.0
 Kenya ,110000000000.0
 Puerto Rico ,107000000000.0
 Ecuador ,106000000000.0
 Ethiopia ,99268512532.0
 Dominican Republic ,94243426487.0
 Oman ,88191977477.0
 Guatemala ,85985881813.0
 Luxembourg ,85506243834.0
 Sri Lanka ,85308759183.0
 Bulgaria ,84057565267.0
 Ghana ,79082784426.0
 Angola ,70533243177.0
 U.R. of Tanzania: Mainland ,70296924623.0
 Côte d'Ivoire ,69764830609.0
 Uzbekistan ,69238903166.0
 Croatia ,68955088873.0
 Belarus ,68206172117.0
 Lithuania ,66445256585.0
 Costa Rica ,64282436594.0
 Panama ,63605065781.0
 Serbia ,63068108024.0
 Slovenia ,61748586535.0
 Uruguay ,59317612018.0
 Myanmar ,58582089718.0
 Azerbaijan ,54622176471.0
 Turkmenistan ,53954394309.0
 D.R. of the Congo ,52849911906.0
 Tunisia ,46687298709.0
 Cameroon ,45367649044.0
 Jordan ,45243661972.0
 Uganda ,42661087760.0
 Paraguay ,40458386036.0
 Bolivia (Plurinational State of) ,40408208528.0
 Latvia ,39853501580.0
 Libya ,39005706444.0
 Bahrain ,38868670213.0
 Lebanon ,37944879049.0
 Estonia ,37191166152.0
 Nepal ,36207179306.0
 Sudan ,35867261255.0
" China, Macao SAR ",29905071578.0
 El Salvador ,28736940855.0
 Honduras ,28488721296.0
 Cyprus ,28408121234.0
 Senegal ,27625162484.0
 Cambodia ,26669490942.0
 Papua New Guinea ,26594518500.0
 Iceland ,25602419210.0
 Trinidad and Tobago ,24460196271.0
 Zimbabwe ,24118150864.0
 Bosnia and Herzegovina ,23365274674.0
 Zambia ,21313366728.0
 Burkina Faso ,19737616003.0
 Syrian Arab Republic ,19718893437.0
 Mali ,19157055766.0
 Lao People's DR ,19074407740.0
 Haiti ,19043741493.0
 Georgia ,18696419950.0
 Gabon ,18520706721.0
 Albania ,18260043500.0
 State of Palestine ,18036800000.0
 Malta ,17720643244.0
 Benin ,17687623535.0
 Botswana ,17614859700.0
 D.P.R. of Korea ,16750452731.0
 Chad ,16409566631.0
 Guinea ,16036108888.0
 Mozambique ,15776758633.0
 Mongolia ,15098022752.0
 Afghanistan ,14939009447.0
 Niger ,14915001994.0
 Jamaica ,14657583648.0
 Madagascar ,14449793300.0
 Nicaragua ,14013014452.0
 Brunei Darussalam ,14006497000.0
 North Macedonia ,13881177347.0
 Armenia ,13861418912.0
 Republic of Moldova ,13680098590.0
 Congo ,12840627675.0
 Equatorial Guinea ,12430854974.0
 Namibia ,12236251093.0
 Malawi ,12199195237.0
 Mauritius ,11525219786.0
 Bahamas ,11208600000.0
 Rwanda ,11069922510.0
 New Caledonia ,10071349707.0
 Mauritania ,9996240419.0
 Yemen ,9946815477.0
 Kosovo ,9412100728.0
 Tajikistan ,8746309306.0
 Kyrgyzstan ,8740681889.0
