country,investment_ratio
 Mauritania ,0.5716103310339959
 Mozambique ,0.4982381745739673
 Turkmenistan ,0.4954593078721832
 Cabo Verde ,0.45595560128011436
 China ,0.4293785310734463
 Vanuatu ,0.4269216656934366
 Djibouti ,0.4260198699259023
 Uzbekistan ,0.4058121982758042
 Zanzibar ,0.40317003921104705
 U.R. of Tanzania: Mainland ,0.4031700390734745
 Maldives ,0.40244743007024564
 Iran (Islamic Republic of) ,0.4
 Qatar ,0.38462942124444444
 Antigua and Barbuda ,0.3814616232761047
 Algeria ,0.3803784719386503
 Senegal ,0.37882316482522665
 Lao People's DR ,0.37551551983338277
 Suriname ,0.3712034226210126
 Timor-Leste ,0.3664598824687041
 Mongolia ,0.3612754038456757
 Kosovo ,0.3595117591478458
 Nepal ,0.35782212501301
 Curaçao ,0.35087412384145905
 Tajikistan ,0.34056022235077354
 Nigeria ,0.33874709976798145
 Palau ,0.33868008352891865
 North Macedonia ,0.3381788019598018
 Viet Nam ,0.3360655737704918
 Samoa ,0.33247719338080345
 Bahrain ,0.3294735174067479
 Bhutan ,0.32797670744900065
 Gambia ,0.3253750165985584
 St. Vincent and the Grenadines ,0.3211600813004657
 Republic of Korea ,0.32099447513812157
 Liberia ,0.3179607349487985
 Dominican Republic ,0.3135209260252838
 Indonesia ,0.3134453781512605
 Brunei Darussalam ,0.312725674735089
 India ,0.311875
 Bangladesh ,0.3108433734939759
 Morocco ,0.3102625762377622
 Saint Kitts and Nevis ,0.3099287738447668
 Grenada ,0.30734444362312197
 Hungary ,0.3047064857802198
 Estonia ,0.3034912197124805
 Czechia ,0.30160914591489363
 New Caledonia ,0.2965998083577419
 Thailand ,0.29051383399209485
 Botswana ,0.28948159377051413
 Benin ,0.28850618320218563
 Republic of Moldova ,0.2866601012558931
 Zambia ,0.2863280354005646
 Syrian Arab Republic ,0.28519148211673556
 Greenland ,0.2843837575630097
 Dominica ,0.28426902011060085
 Micronesia (FS of) ,0.28328925333773075
 Türkiye ,0.28083028083028083
 Ethiopia ,0.28022952764636877
 Kyrgyzstan ,0.2787324188134631
 Austria ,0.27708333333333335
 Sri Lanka ,0.276979202420619
 Niger ,0.2756041693895599
 Tuvalu ,0.2748364148100077
 Myanmar ,0.27344234210678964
 Anguilla ,0.26913719105554845
 Kazakhstan ,0.2673579144145078
 Bosnia and Herzegovina ,0.26343538605387423
 Rwanda ,0.2628837718937203
 Sao Tome and Principe ,0.261687840272612
 Lesotho ,0.26097288181442596
 Belgium ,0.2609427609427609
 Sweden ,0.25943396226415094
 Romania ,0.2591633365528169
 Bahamas ,0.25779847617008367
 Latvia ,0.25778838031024526
 State of Palestine ,0.25768983411691654
 Marshall Islands ,0.25714248635102477
 Serbia ,0.2564286191658978
 Montenegro ,0.25616906911739296
 Panama ,0.2551390456363248
 Cambodia ,0.25499999999212586
 Chile ,0.25328236336277604
 Norway ,0.25311203319502074
 Japan ,0.25303643724696356
 Chad ,0.2512922549221952
 Monaco ,0.2502669071323037
 France ,0.25
 United Arab Emirates ,0.24938271604938272
 Ireland ,0.24801587301587302
 Belarus ,0.24751225654536171
 New Zealand ,0.245262413356
 Jordan ,0.2438786520823315
 Singapore ,0.2435077581486146
 Saint Lucia ,0.24221907407364146
 Uganda ,0.24177353308536453
 Albania ,0.24115679697039058
 Honduras ,0.23994751270074693
 Finland ,0.23987725696296297
 Togo ,0.23724389776947694
 Canada ,0.2371859296482412
 Saudi Arabia ,0.23621103117505995
 Nicaragua ,0.23617460314027228
 Liechtenstein ,0.23552859893619235
 Switzerland ,0.23493234932349324
 Côte d'Ivoire ,0.2337500837978993
 Australia ,0.2329479768786127
 Germany ,0.23286384976525823
 Paraguay ,0.23196428193278115
 Kuwait ,0.23126678681751825
 Denmark ,0.22986443891457287
 Montserrat ,0.22928954206650873
 Iceland ,0.2284368022813888
" China, Macao SAR ",0.22833596482756427
 Israel ,0.22821576763485477
 Peru ,0.22663191114798206
 Jamaica ,0.22485722027243654
 Russian Federation ,0.22415730337078651
 Oman ,0.22408866544753506
 Ecuador ,0.22383633962264152
 Malaysia ,0.22253130097050938
 El Salvador ,0.2219228965664376
 Tonga ,0.219651979219205
 Georgia ,0.2194537198015816
 British Virgin Islands ,0.21907322103353136
 Slovenia ,0.21894027950481249
 D.R. of the Congo ,0.21832684536017247
 Croatia ,0.21804537165765622
 Poland ,0.21502209131075112
 Netherlands ,0.21485148514851485
 Slovakia ,0.21419436113675214
 Malta ,0.2137131491703767
 Mali ,0.21306419461617807
 Burkina Faso ,0.2130594419995212
 Philippines ,0.21188401703299492
 Belize ,0.2114459709868777
 United States ,0.2111587982832618
 Bulgaria ,0.21074250263770727
 Kiribati ,0.2100005800289427
 Nauru ,0.21000057794063617
 Angola ,0.20983012354699285
 Andorra ,0.20841336290719917
 Mexico ,0.2078740157480315
 Spain ,0.2076923076923077
 French Polynesia ,0.20760565032842346
 Portugal ,0.2061174250511811
 Armenia ,0.20582368876609852
 Guyana ,0.2045077386371651
 Kenya ,0.20363604814545455
 Italy ,0.2
 Aruba ,0.1983753396406866
 Colombia ,0.1983747106656051
 Solomon Islands ,0.1979974256564283
 Lithuania ,0.19671560985364203
 Fiji ,0.1964503820474641
 Costa Rica ,0.19640852539149786
 Mauritius ,0.19458451523190762
 Brazil ,0.18881987577639753
 San Marino ,0.18605737475948683
 Gabon ,0.18605104037919504
 Ghana ,0.18552624365077766
 Uruguay ,0.18381594462520362
 Barbados ,0.18262521161071885
 Cyprus ,0.18186927795902408
 Greece ,0.1813581534883721
 United Kingdom ,0.18115015974440896
 Haiti ,0.18048044709404207
 Seychelles ,0.17968857641023345
 Cameroon ,0.1794224717729017
 Madagascar ,0.17735932478701963
" China, Hong Kong SAR ",0.17620083189430893
 Luxembourg ,0.1755439806961969
 Argentina ,0.17482377084394252
 Azerbaijan ,0.17313588426892768
 Cayman Islands ,0.17172100588993836
 Guatemala ,0.1696448226782576
 Bolivia (Plurinational State of) ,0.16834754169530353
 Turks and Caicos Islands ,0.1639208021347293
 South Sudan ,0.16307255847885185
 Somalia ,0.16302418124980078
 Namibia ,0.1592194201632995
 Yemen ,0.15842062302690488
 Sint Maarten (Dutch part) ,0.1576308642251498
 Central African Republic ,0.15723911114482558
 Guinea ,0.1564819447489399
 Zimbabwe ,0.15499485914485323
 Tunisia ,0.15263965121259507
 Egypt ,0.15168273561267606
 Eswatini ,0.14706617035535985
 Pakistan ,0.14623576178717201
 Libya ,0.14543862150387055
 Congo ,0.145040519057025
 Ukraine ,0.138232750165
 Sudan ,0.1374037368217787
 Bermuda ,0.135438674834281
 Afghanistan ,0.12859843665108567
 South Africa ,0.1279800744797136
 Burundi ,0.12764964266921155
 Puerto Rico ,0.11609065420560748
 Comoros ,0.11490651922042634
 Sierra Leone ,0.11166868097899257
 Venezuela (Bolivarian Republic of) ,0.10982847407142857
 Trinidad and Tobago ,0.10865455148252355
 Cook Islands ,0.10620664180726272
 Malawi ,0.09220199948833724
 Lebanon ,0.08801555184000555
 Papua New Guinea ,0.07938219498127029
 Cuba ,0.0787760184488189
 Guinea-Bissau ,0.07416746164228984
 Iraq ,0.07061485956862745
 Eritrea ,0.04640850544127558
 Equatorial Guinea ,0.03839109980754893
 D.P.R. of Korea ,
