country,services_share
 Bermuda ,0.7583041589326155
 British Virgin Islands ,0.7197364883512037
 Cayman Islands ,0.6998539762873919
 Lebanon ,0.6411420021812178
 Cuba ,0.6389993894015749
" China, Hong Kong SAR ",0.6097560975609756
 Luxembourg ,0.6077095094234262
 Montserrat ,0.5871423740632726
 Monaco ,0.5664006603516759
" China, Macao SAR ",0.5644832425152472
 Sint Maarten (Dutch part) ,0.5540334532928548
 United States ,0.5536480686695279
 Malta ,0.5514159664214501
 Andorra ,0.5429904978657965
 Curaçao ,0.5251636334507873
 Tuvalu ,0.5243445681679718
 Kiribati ,0.517517597292469
 French Polynesia ,0.5150062775925394
 Bahamas ,0.5129945755937405
 United Kingdom ,0.5111821086261981
 New Caledonia ,0.5111129749989923
 Palau ,0.502608019800231
 France ,0.4966216216216216
 Belgium ,0.48484848484848486
 Canada ,0.48391959798994977
 Cyprus ,0.48222857834062705
 Micronesia (FS of) ,0.48037484222609317
 New Zealand ,0.48
 Israel ,0.475103734439834
 Australia ,0.47398843930635837
 Costa Rica ,0.46882396339987126
 Switzerland ,0.46863468634686345
 Netherlands ,0.4643564356435644
 Kuwait ,0.46040224664233576
 Iceland ,0.4566633876314847
 Saint Kitts and Nevis ,0.4564768451941127
 Marshall Islands ,0.4544573681117912
 Grenada ,0.4503204961911985
 Aruba ,0.44892603336016595
 Mauritius ,0.4475405848021717
 Libya ,0.44749061153550634
 Japan ,0.4473684210526316
 Seychelles ,0.4471544718480148
 Barbados ,0.444733473718981
 South Africa ,0.4439140811455847
 Botswana ,0.4419703342286626
 Germany ,0.43896713615023475
 Spain ,0.43846153846153846
 Italy ,0.43838862559241704
 Jordan ,0.43660305700331875
 Lesotho ,0.4318011150699117
 Greece ,0.42943290010697677
 Sweden ,0.4276729559748428
 Denmark ,0.4271356783919598
 Uruguay ,0.4261713416637358
 Namibia ,0.42586348043977656
 Portugal ,0.4251968503937008
 Liechtenstein ,0.4235783758120371
 Finland ,0.4208754208754209
 Timor-Leste ,0.4207108341973491
 Bahrain ,0.4202352438220781
 Cook Islands ,0.41767689097891425
 Austria ,0.40625
 Brazil ,0.40559006211180126
 Republic of Korea ,0.40331491712707185
 St. Vincent and the Grenadines ,0.4026967737923103
 Singapore ,0.3879093198992443
 Greenland ,0.38770210898766944
 El Salvador ,0.3843925657479313
