country,trade_openness
" China, Hong Kong SAR ",4.024390243902439
 Luxembourg ,3.882757388390697
 Singapore ,3.3828715365239295
 San Marino ,3.3265960486984767
 Djibouti ,3.2866236446817405
 Malta ,3.2426264958782327
 Seychelles ,2.3582288376038014
 Ireland ,2.2956349206349205
 Sint Maarten (Dutch part) ,2.0619442261350556
 United Arab Emirates ,1.9086419753086419
 British Virgin Islands ,1.8892847705422338
 Slovakia ,1.8717948717948718
 Viet Nam ,1.866120218579235
 Anguilla ,1.7871604334924935
 Belgium ,1.7272727272727273
 Cyprus ,1.7031212919527348
" China, Macao SAR ",1.6417758953006174
 Hungary ,1.6263736263736264
 Bahrain ,1.6160050688842946
 Slovenia ,1.6092022213768071
 Guyana ,1.5890723434059704
 Estonia ,1.5695804914646603
 Lithuania ,1.5646505393655106
 Netherlands ,1.5613861386138614
 North Macedonia ,1.4780845012713748
 Brunei Darussalam ,1.4712311265978923
 Cambodia ,1.4464039374389046
 Cook Islands ,1.445749178029321
 Maldives ,1.4356528721055186
 Czechia ,1.425531914893617
 Lesotho ,1.4106922808613322
 Belarus ,1.3873871791643093
 Lebanon ,1.3745065616008205
 Aruba ,1.3716433907517156
 Turks and Caicos Islands ,1.33991956689107
 Curaçao ,1.3112403133521784
 Malaysia ,1.3056300268096515
 Latvia ,1.3036601898758429
 Liechtenstein ,1.251062813463499
 Switzerland ,1.2509225092250922
 Puerto Rico ,1.2352859813084112
 Bulgaria ,1.2097411523995385
 Mongolia ,1.201385317067245
 Turkmenistan ,1.183661239458063
 Thailand ,1.16798418972332
 Guinea ,1.1674748026318091
 Marshall Islands ,1.1670196553025733
 Serbia ,1.1665013935411535
 Montserrat ,1.1479460995787785
 Poland ,1.1251840942562592
 Denmark ,1.1231155778894473
 Austria ,1.1145833333333333
 Antigua and Barbuda ,1.100020628342246
 Congo ,1.0906819536763805
 Tuvalu ,1.082548650595649
 Suriname ,1.0771319279711011
 Cayman Islands ,1.0698330623395376
 Nicaragua ,1.062320537311325
 Somalia ,1.0586926247198452
 Montenegro ,1.0575372587982472
 Kyrgyzstan ,1.057100897085399
 Croatia ,1.0402654049088924
 Georgia ,1.0170924374749082
 Mauritania ,1.003930214395937
 Honduras ,1.0038067605026284
 Grenada ,1.0031367665209332
 Mozambique ,1.0021720831127074
 Kosovo ,0.9863841808854895
 Mauritius ,0.9782065342211427
 Equatorial Guinea ,0.9736493909964266
 Bosnia and Herzegovina ,0.9723393625361838
 Belize ,0.9658134621735668
 Micronesia (FS of) ,0.9570039738674577
 Botswana ,0.9447943041521926
 Tunisia ,0.943521727109654
 Oman ,0.9391614611499183
 Timor-Leste ,0.938893961126593
 Nauru ,0.9343426085892171
 Kiribati ,0.9343426053830001
 Qatar ,0.9295940170944444
 Panama ,0.9269814326269064
 Saint Kitts and Nevis ,0.9165979457724188
 Eswatini ,0.9072267516395967
 Zambia ,0.9025593848450202
 Kuwait ,0.898334260109489
 Greece ,0.892221191627907
 Greenland ,0.8908607974619819
 Germany ,0.8873239436619719
 Republic of Moldova ,0.8861247149827741
 Romania ,0.8732394366197183
 Liberia ,0.8666590360542571
 Sweden ,0.8663522012578616
 Portugal ,0.8622047244094488
 Palau ,0.8584730005916136
 El Salvador ,0.8436842490762749
 Mexico ,0.8409448818897638
 Ukraine ,0.82656668116
 Cabo Verde ,0.8262620745456364
 Fiji ,0.818925217153841
 Jordan ,0.8178022841718352
 Papua New Guinea ,0.816063501055678
 Trinidad and Tobago ,0.8159370381529675
 South Sudan ,0.8151539291186789
 Namibia ,0.8126725172948361
 D.R. of the Congo ,0.8114715464101118
 Republic of Korea ,0.8049723756906078
 Jamaica ,0.7970547255648177
 Finland ,0.7878787878787878
 Armenia ,0.782431668565389
 Iceland ,0.7818088907856766
 Bhutan ,0.7761502418289474
 Azerbaijan ,0.7657070980539471
 Saint Lucia ,0.7613498095960912
 Morocco ,0.7488175144615384
 Albania ,0.74518292073072
 State of Palestine ,0.7443171737780537
 Bermuda ,0.7381384986546529
 Tajikistan ,0.7343180846113104
 Tonga ,0.7337986978445635
 Iraq ,0.7327274698970588
 Gabon ,0.7299786763898404
 Dominica ,0.7128467222826815
 Venezuela (Bolivarian Republic of) ,0.7099875470803572
 Barbados ,0.7084623642594657
 Türkiye ,0.7081807081807082
 Norway ,0.7074688796680498
 Costa Rica ,0.7060613362194234
 Lao People's DR ,0.703034073287562
 Mali ,0.6974313327266429
 Bahamas ,0.6962760737291008
 Libya ,0.6839000133044225
 Andorra ,0.6838177656937419
 Spain ,0.6825174825174826
 Paraguay ,0.6765522747903022
 Senegal ,0.6732696236908041
 Togo ,0.6725043498023677
 Syrian Arab Republic ,0.6484076377738782
 Chile ,0.6435331230283912
 Uzbekistan ,0.6388253596096835
 Philippines ,0.6345177664974619
 St. Vincent and the Grenadines ,0.6294568760920279
 Italy ,0.6293838862559241
 Samoa ,0.6159179553138849
 Canada ,0.6130653266331658
 Monaco ,0.6083966778616288
 France ,0.6081081081081081
 Angola ,0.6034458124403849
 Solomon Islands ,0.5918201392392481
 Eritrea ,0.5914030667758857
 Saudi Arabia ,0.5911270983213429
 Bolivia (Plurinational State of) ,0.5901833387014638
 New Caledonia ,0.5883852773855428
 Kazakhstan ,0.5876999064974093
 Ghana ,0.5843001362229249
 Sierra Leone ,0.583908320045051
 Burkina Faso ,0.5711301390850146
 Uruguay ,0.568059244458036
 United Kingdom ,0.5667731629392971
 South Africa ,0.5632458233890215
 Zimbabwe ,0.5631268005820697
 Peru ,0.5556635568565023
 Israel ,0.549792531120332
 Sao Tome and Principe ,0.541667209021298
 Rwanda ,0.538468567202283
 Yemen ,0.5352476876956949
 Algeria ,0.5334982719079755
 Dominican Republic ,0.5273486706773711
 Russian Federation ,0.5213483146067416
 Vanuatu ,0.5188287053598288
 French Polynesia ,0.5161081857181072
 Afghanistan ,0.5157112801442892
 Ecuador ,0.5146641603773585
 Côte d'Ivoire ,0.5134873022020727
 Guinea-Bissau ,0.507751123558649
 Madagascar ,0.5049532121680937
 Guatemala ,0.49861552440947343
 New Zealand ,0.490787947376
 Benin ,0.4805486083068649
 Myanmar ,0.47954166685126376
 Chad ,0.47241236385580204
 Australia ,0.45895953757225433
 India ,0.453125
 Central African Republic ,0.4437713624268624
 Malawi ,0.443608118311485
 Iran (Islamic Republic of) ,0.44201680672268906
 Nepal ,0.4381122817918966
 Sri Lanka ,0.4304101971080711
 Gambia ,0.4231474768395221
 Colombia ,0.40911569863375796
 Indonesia ,0.40336134453781514
 Brazil ,0.391304347826087
 Burundi ,0.3869288559064744
 Uganda ,0.37988794032100415
 Cameroon ,0.37781900103256316
 Niger ,0.3751110483425122
 Japan ,0.3736842105263158
 China ,0.37231638418079094
 Haiti ,0.3704653164712017
 Comoros ,0.3374303262998879
 Argentina ,0.32994862747022585
 U.R. of Tanzania: Mainland ,0.3103114973661712
 Zanzibar ,0.3103114970115488
 Kenya ,0.3076593136272727
 Egypt ,0.2985039412652582
 Bangladesh ,0.27717791101686745
 Pakistan ,0.27010771618367346
 United States ,0.2549356223175966
 Ethiopia ,0.24255513468319811
 Sudan ,0.2330343275327393
 Nigeria ,0.2257250585336427
 D.P.R. of Korea ,0.17016321121428202
 Cuba ,0.10302391348818897
