Variable,Country,Year,Value,Outlier Type,Threshold Breached
ama_exchange_rate, Madagascar ,2021,3829.977849,High,414.5280142975
ama_exchange_rate, Zanzibar ,2021,2297.764226,High,414.5280142975
ama_exchange_rate, Armenia ,2021,503.769675,High,414.5280142975
ama_exchange_rate, Mali ,2021,554.530675,High,414.5280142975
ama_exchange_rate, Gabon ,2021,554.530675,High,414.5280142975
ama_exchange_rate, Equatorial Guinea ,2021,554.530675,High,414.5280142975
ama_exchange_rate, Paraguay ,2021,6774.162735,High,414.5280142975
ama_exchange_rate, Uzbekistan ,2021,10609.46439,High,414.5280142975
ama_exchange_rate, Guinea-Bissau ,2021,554.530675,High,414.5280142975
ama_exchange_rate, Rwanda ,2021,988.6248066,High,414.5280142975
ama_exchange_rate, Senegal ,2021,554.530675,High,414.5280142975
ama_exchange_rate, Angola ,2021,631.4419555,High,414.5280142975
ama_exchange_rate, Benin ,2021,554.6077989,High,414.5280142975
ama_exchange_rate, Burkina Faso ,2021,554.530675,High,414.5280142975
ama_exchange_rate, Costa Rica ,2021,620.78472,High,414.5280142975
ama_exchange_rate, Sierra Leone ,2021,10439.42532,High,414.5280142975
ama_exchange_rate, Guinea ,2021,9795.705833,High,414.5280142975
ama_exchange_rate, Comoros ,2021,415.9558491,High,414.5280142975
ama_exchange_rate, Congo ,2021,554.530675,High,414.5280142975
ama_exchange_rate, Viet Nam ,2021,23159.78259,High,414.5280142975
ama_exchange_rate, D.R. of the Congo ,2021,1989.391471,High,414.5280142975
ama_exchange_rate, Chad ,2021,554.530675,High,414.5280142975
ama_exchange_rate, Chile ,2021,758.9553787,High,414.5280142975
ama_exchange_rate, Niger ,2021,554.530675,High,414.5280142975
ama_exchange_rate, Colombia ,2021,3743.589819,High,414.5280142975
ama_exchange_rate, Somalia ,2021,24300.0,High,414.5280142975
ama_exchange_rate, Central African Republic ,2021,554.530675,High,414.5280142975
ama_exchange_rate, Côte d'Ivoire ,2021,554.530675,High,414.5280142975
ama_exchange_rate, Indonesia ,2021,14308.1439,High,414.5280142975
ama_exchange_rate, Iran (Islamic Republic of) ,2021,111636.6283,High,414.5280142975
ama_exchange_rate, Iraq ,2021,1450.0,High,414.5280142975
ama_exchange_rate, South Sudan ,2021,1003.462331,High,414.5280142975
ama_exchange_rate, Cambodia ,2021,4098.722795,High,414.5280142975
ama_exchange_rate, Cameroon ,2021,554.530675,High,414.5280142975
ama_exchange_rate, Togo ,2021,554.530675,High,414.5280142975
ama_exchange_rate, Myanmar ,2021,1583.083333,High,414.5280142975
ama_exchange_rate, Kazakhstan ,2021,425.9075,High,414.5280142975
ama_exchange_rate, Mongolia ,2021,2849.288615,High,414.5280142975
ama_exchange_rate, Lebanon ,2021,5863.748727,High,414.5280142975
ama_exchange_rate, Republic of Korea ,2021,1143.951667,High,414.5280142975
ama_exchange_rate, Burundi ,2021,1975.950881,High,414.5280142975
ama_exchange_rate, Syrian Arab Republic ,2021,2187.5,High,414.5280142975
ama_exchange_rate, Lao People's DR ,2021,9697.915789,High,414.5280142975
ama_exchange_rate, Uganda ,2021,3587.051707,High,414.5280142975
ama_exchange_rate, Yemen ,2021,1035.467186,High,414.5280142975
ama_exchange_rate, Malawi ,2021,797.75,High,414.5280142975
ama_exchange_rate, U.R. of Tanzania: Mainland ,2021,2297.764226,High,414.5280142975
imf_based_exchange_rate, Madagascar ,2021,3829.977849,High,414.5280142975
imf_based_exchange_rate, Zanzibar ,2021,2297.764226,High,414.5280142975
imf_based_exchange_rate, Armenia ,2021,503.769675,High,414.5280142975
imf_based_exchange_rate, Mali ,2021,554.530675,High,414.5280142975
imf_based_exchange_rate, Gabon ,2021,554.530675,High,414.5280142975
imf_based_exchange_rate, Equatorial Guinea ,2021,554.530675,High,414.5280142975
imf_based_exchange_rate, Paraguay ,2021,6774.162735,High,414.5280142975
imf_based_exchange_rate, Uzbekistan ,2021,10609.46439,High,414.5280142975
imf_based_exchange_rate, Guinea-Bissau ,2021,554.530675,High,414.5280142975
imf_based_exchange_rate, Rwanda ,2021,988.6248066,High,414.5280142975
imf_based_exchange_rate, Senegal ,2021,554.530675,High,414.5280142975
imf_based_exchange_rate, Angola ,2021,631.4419555,High,414.5280142975
imf_based_exchange_rate, Benin ,2021,554.6077989,High,414.5280142975
imf_based_exchange_rate, Burkina Faso ,2021,554.530675,High,414.5280142975
imf_based_exchange_rate, Costa Rica ,2021,620.78472,High,414.5280142975
imf_based_exchange_rate, Sierra Leone ,2021,10439.42532,High,414.5280142975
imf_based_exchange_rate, Guinea ,2021,9795.705833,High,414.5280142975
imf_based_exchange_rate, Comoros ,2021,415.9558491,High,414.5280142975
imf_based_exchange_rate, Congo ,2021,554.530675,High,414.5280142975
imf_based_exchange_rate, Viet Nam ,2021,23159.78259,High,414.5280142975
imf_based_exchange_rate, D.R. of the Congo ,2021,1989.391471,High,414.5280142975
imf_based_exchange_rate, Chad ,2021,554.530675,High,414.5280142975
imf_based_exchange_rate, Chile ,2021,758.9553787,High,414.5280142975
imf_based_exchange_rate, Niger ,2021,554.530675,High,414.5280142975
imf_based_exchange_rate, Colombia ,2021,3743.589819,High,414.5280142975
imf_based_exchange_rate, Somalia ,2021,24300.0,High,414.5280142975
imf_based_exchange_rate, Central African Republic ,2021,554.530675,High,414.5280142975
imf_based_exchange_rate, Côte d'Ivoire ,2021,554.530675,High,414.5280142975
imf_based_exchange_rate, Indonesia ,2021,14308.1439,High,414.5280142975
imf_based_exchange_rate, Iran (Islamic Republic of) ,2021,42000.0,High,414.5280142975
imf_based_exchange_rate, Iraq ,2021,1450.0,High,414.5280142975
imf_based_exchange_rate, Cambodia ,2021,4098.722795,High,414.5280142975
imf_based_exchange_rate, Cameroon ,2021,554.530675,High,414.5280142975
imf_based_exchange_rate, Togo ,2021,554.530675,High,414.5280142975
imf_based_exchange_rate, Myanmar ,2021,1583.083333,High,414.5280142975
imf_based_exchange_rate, Kazakhstan ,2021,425.9075,High,414.5280142975
imf_based_exchange_rate, Mongolia ,2021,2849.288615,High,414.5280142975
imf_based_exchange_rate, Lebanon ,2021,1507.5,High,414.5280142975
imf_based_exchange_rate, Republic of Korea ,2021,1143.951667,High,414.5280142975
imf_based_exchange_rate, Burundi ,2021,1975.950881,High,414.5280142975
imf_based_exchange_rate, Syrian Arab Republic ,2021,2187.5,High,414.5280142975
imf_based_exchange_rate, Lao People's DR ,2021,9697.915789,High,414.5280142975
imf_based_exchange_rate, Uganda ,2021,3587.051707,High,414.5280142975
imf_based_exchange_rate, Yemen ,2021,1035.467186,High,414.5280142975
imf_based_exchange_rate, Malawi ,2021,797.75,High,414.5280142975
imf_based_exchange_rate, U.R. of Tanzania: Mainland ,2021,2297.764226,High,414.5280142975
population, Bangladesh ,2021,169356251.0,High,63845295.625
population, Egypt ,2021,109262178.0,High,63845295.625
population, France ,2021,66875883.0,High,63845295.625
population, Ethiopia ,2021,120283026.0,High,63845295.625
population, Russian Federation ,2021,145102755.0,High,63845295.625
population, Pakistan ,2021,231402117.0,High,63845295.625
population, Philippines ,2021,113880328.0,High,63845295.625
population, Germany ,2021,83408554.0,High,63845295.625
population, India ,2021,1407563842.0,High,63845295.625
population, Viet Nam ,2021,97468029.0,High,63845295.625
population, D.R. of the Congo ,2021,95894118.0,High,63845295.625
population, China ,2021,1425893465.0,High,63845295.625
population, Nigeria ,2021,213401323.0,High,63845295.625
population, United States ,2021,336997624.0,High,63845295.625
population, Indonesia ,2021,273753191.0,High,63845295.625
population, Iran (Islamic Republic of) ,2021,87923432.0,High,63845295.625
population, Thailand ,2021,71601103.0,High,63845295.625
population, Japan ,2021,124612530.0,High,63845295.625
population, Brazil ,2021,214326223.0,High,63845295.625
population, Mexico ,2021,126705138.0,High,63845295.625
population, Türkiye ,2021,84775404.0,High,63845295.625
population, United Kingdom ,2021,67281039.0,High,63845295.625
per_capita_gni, Belgium ,2021,51639.0,High,50218.625
per_capita_gni, Liechtenstein ,2021,198294.0,High,50218.625
per_capita_gni, Luxembourg ,2021,93369.0,High,50218.625
per_capita_gni, Finland ,2021,54714.0,High,50218.625
per_capita_gni, Qatar ,2021,65863.0,High,50218.625
per_capita_gni, Germany ,2021,52885.0,High,50218.625
per_capita_gni, Greenland ,2021,56613.0,High,50218.625
per_capita_gni, Denmark ,2021,70390.0,High,50218.625
per_capita_gni, Iceland ,2021,69996.0,High,50218.625
per_capita_gni, Singapore ,2021,58770.0,High,50218.625
per_capita_gni, Ireland ,2021,76726.0,High,50218.625
