countryid,country,year,ama_exchange_rate,imf_based_exchange_rate,population,currency,per_capita_gni,agriculture_hunting_forestry_fishing_,changes_in_inventories,construction_,exports_of_goods_and_services,final_consumption_expenditure,general_government_final_consumption_expenditure,gross_capital_formation,gross_fixed_capital_formation_,household_consumption_expenditure_,imports_of_goods_and_services,manufacturing_,mining_manufacturing_utilities_,other_activities_,total_value_added,transport_storage_and_communication_,wholesale_retail_trade_restaurants_and_hotels_,gross_national_income,gross_domestic_product_,income_group,development_status,export_dependency,import_dependency,trade_openness,investment_ratio,government_share,household_share,agriculture_share,services_share,gdp_per_person,investment_per_person,exports_per_person,imports_per_person,gdp_group,population_group,gni_group,trade_group,investment_group,export_group,import_group,government_group,consumption_group,agriculture_group,services_group
458, Malaysia ,2021,4.143297598,4.143297598,33573874.0, Malaysian Ringgit ,10769.0,35828708048.0,11101061150.0,13404299036.0,257000000000.0,263000000000.0,47673379795.0,83004175262.0,71903114112.0,216000000000.0,230000000000.0,87552726157.0,127000000000.0,88155144868.0,369000000000.0,34558463786.0,69405586537.0,362000000000.0,373000000000.0,Upper Middle Income,Developing,0.6890080428954424,0.6166219839142091,1.3056300268096515,0.22253130097050938,0.127810669691689,0.579088471849866,0.09605551755495978,0.2363408709597855,11109.829029560306,2472.2847075079867,7654.761556560318,6850.564817155148,Very High,Very High,High,Very High,Medium,Very High,Very High,Medium,Medium,High,Low
4, Afghanistan ,2021,82.52610753,82.52610753,40099462.0, Afghani ,377.0,5002252164.0,,300111089.0,1803587091.0,17114916718.0,3250843273.0,1921133260.0,1921133260.0,13864073445.0,5900628595.0,1353586197.0,2028732543.0,3913886381.0,14278498694.0,1471191459.0,1562325057.0,15114672599.0,14939009447.0,Low Income,Under-developed,0.12073003216168325,0.394981247982606,0.5157112801442892,0.12859843665108567,0.21760768573935288,0.9280450282989904,0.33484496959097476,0.26199102389522705,372.54887477043957,47.909202871599625,44.977837632834074,147.1498194913438,Medium,Very High,Low,Low,Low,Low,Medium,Very High,Very High,Very High,Low
450, Madagascar ,2021,3829.977849,3829.977849,28915653.0, Malagasy Ariary ,489.0,3466856929.0,-190762120.0,1014292122.0,3042228890.0,13820478381.0,3089661428.0,2562805583.0,2753567704.0,10730816953.0,4254240652.0,1403701152.0,2034540853.0,4115898038.0,13644003274.0,1151112389.0,1861302943.0,14144956116.0,14449793300.0,Low Income,Under-developed,0.21053788291905878,0.294415329249035,0.5049532121680937,0.17735932478701963,0.21382045845596975,0.7426277130898474,0.23992432673760114,0.2848413089756793,499.7221850739459,88.6303893258091,105.21045089315466,147.125871651593,Medium,Very High,Low,Low,Low,Low,Low,High,Very High,Very High,Medium
52, Barbados ,2021,2.0,2.0,281200.0, Barbados Dollar ,16887.0,71800000.0,9500000.0,281900000.0,1471300000.0,4514350000.0,626000000.0,884600000.0,875100000.0,3888350000.0,1960350000.0,244950000.0,367550000.0,2154200000.0,4165250000.0,532600000.0,757200000.0,4748718879.0,4843800000.0,High Income,Developed,0.3037491225897023,0.4047132416697634,0.7084623642594657,0.18262521161071885,0.12923737561418722,0.8027478426029151,0.014823072794087287,0.444733473718981,17225.462304409673,3145.8036984352775,5232.21906116643,6971.372688477952,Low,Low,High,Medium,Low,Medium,Medium,Medium,Very High,Low,Very High
836, Zanzibar ,2021,2297.764226,2297.764226,1717608.0, Tanzanian Shilling ,1190.0,563025564.0,-147525321.0,194188766.0,298366403.0,1387384118.0,152808133.0,838742896.0,889341261.0,1234575985.0,347196358.0,146011499.0,201152057.0,445911721.0,1923957188.0,94004423.0,425674657.0,2044323819.0,2080370103.0,Lower Middle Income,Developing,0.14341986676781232,0.1668916302437365,0.3103114970115488,0.40317003921104705,0.07345237887222224,0.5934405533033177,0.270637211709632,0.21434249624957238,1211.2019174340128,488.3203245443664,173.71041762730496,202.13946255490194,Low,Medium,Low,Low,Very High,Low,Low,Low,Medium,Very High,Low
807, North Macedonia ,2021,52.10215833,52.10215833,2103330.0, Denar ,6285.0,1057729694.0,,662630184.0,9152027771.0,11400347298.0,2259175124.0,4694319925.0,4694319925.0,9141172175.0,11365525325.0,1750464912.0,2320010170.0,4452917027.0,11796152399.0,1009794818.0,2293070504.0,13218812522.0,13881177347.0,Upper Middle Income,Developing,0.6593120700224997,0.8187724312488751,1.4780845012713748,0.3381788019598018,0.1627509733162694,0.6585300328992332,0.0761988459306441,0.3207881374674868,6599.619340284216,2231.851361888054,4351.20868860331,5403.586372561605,Medium,Medium,Medium,Very High,Very High,Very High,Very High,Medium,High,High,Medium
804, Ukraine ,2021,27.28618938,27.28618938,43531422.0, Hryvnia ,4697.0,21275195002.0,2699937282.0,5564206781.0,81532234815.0,175000000000.0,36113434022.0,27646550033.0,24946612751.0,139000000000.0,83781101417.0,20613761493.0,41379394687.0,54509260311.0,172000000000.0,20143340365.0,29069760854.0,204000000000.0,200000000000.0,Upper Middle Income,Developing,0.407661174075,0.418905507085,0.82656668116,0.138232750165,0.18056717011,0.695,0.10637597501,0.272546301555,4594.38242104749,635.0941173711257,1872.9513319137611,1924.612097831309,Very High,Very High,Medium,High,Low,High,Medium,High,High,High,Medium
56, Belgium ,2021,0.845494139,0.845494139,11611419.0, Euro ,51639.0,3939944521.0,10630824729.0,28739288521.0,516000000000.0,433000000000.0,143000000000.0,155000000000.0,144000000000.0,291000000000.0,510000000000.0,73193410993.0,87824381725.0,288000000000.0,529000000000.0,52717810745.0,67601178259.0,600000000000.0,594000000000.0,High Income,Developed,0.8686868686868687,0.8585858585858586,1.7272727272727273,0.2609427609427609,0.24074074074074073,0.4898989898989899,0.006632903234006734,0.48484848484848486,51156.53823189052,13348.92832650342,44439.013009521055,43922.280300108025,Very High,High,Very High,Very High,High,Very High,Very High,Very High,Low,Low,Very High
50, Bangladesh ,2021,85.08376325,85.08376325,169356251.0, Taka ,2579.0,48265542603.0,,37550041398.0,44240614851.0,310000000000.0,24407935435.0,129000000000.0,129000000000.0,285000000000.0,70788218221.0,88108290232.0,101000000000.0,115000000000.0,399000000000.0,34632158746.0,63174020514.0,437000000000.0,415000000000.0,Lower Middle Income,Developing,0.10660389120722892,0.17057401980963854,0.27717791101686745,0.3108433734939759,0.05881430225301205,0.6867469879518072,0.11630251229638554,0.27710843373493976,2450.455755542203,761.707933650468,261.22811877194897,417.9840885884986,Very High,Very High,Medium,Low,Very High,Low,Low,Low,High,High,Medium
818, Egypt ,2021,15.64452728,15.64452728,109262178.0, Egyptian Pound ,3778.0,48710599334.0,8207342908.0,30758142541.0,44980585703.0,398000000000.0,32190170471.0,64616845371.0,56409502463.0,366000000000.0,82182093276.0,65952775797.0,102000000000.0,119000000000.0,405000000000.0,38550842048.0,65655681490.0,413000000000.0,426000000000.0,Lower Middle Income,Developing,0.10558822934976526,0.19291571191549295,0.2985039412652582,0.15168273561267606,0.07556378044835681,0.8591549295774648,0.11434412989201878,0.2793427230046948,3898.8788965931103,591.3926168577749,411.67571914043305,752.1549980085515,Very High,Very High,Medium,Low,Low,Low,Low,Low,Very High,High,Medium
