,count,mean,std,min,min_country,25%,50%,75%,max,max_country,missing_values,missing_percent
export_dependency,212.0,0.43294619443974797,0.3414412197222066,0.047283921599906326, Kiribati ,0.22076830982264212,0.34517308904842325,0.5407242590286596,2.11680447981541, Luxembourg ,0,0.0
import_dependency,212.0,0.49808645072313457,0.29818978674904867,0.04819843714173228, Cuba ,0.30063458935153775,0.42560029972276414,0.6015558684404538,1.989159891598916," China, Hong Kong SAR ",0,0.0
trade_openness,212.0,0.9310326451628824,0.6088741616409593,0.10302391348818897, Cuba ,0.5632160676872835,0.8010135506277127,1.093016622342847,4.024390243902439," China, Hong Kong SAR ",0,0.0
investment_ratio,211.0,0.24165798794148857,0.08535231423273432,0.03839109980754893, Equatorial Guinea ,0.18605420756934093,0.2329479768786127,0.28478761983987266,0.5716103310339959, Mauritania ,1,0.47
government_share,211.0,0.18828449967103972,0.10989557109304088,0.04046477399538489, Lebanon ,0.12398834856204026,0.1679031779575554,0.21643558949612682,0.928815417498017, Tuvalu ,1,0.47
household_share,211.0,0.6316597413992319,0.18239423339913016,0.10993967205022526, Turkmenistan ,0.5150837167185092,0.6194453539312742,0.7352664110557114,1.4052737530880097, Somalia ,1,0.47
agriculture_share,209.0,0.1063118337692335,0.11306362232518667,0.0001366182847055166, San Marino ,0.021207797880343247,0.06530112232687832,0.1700257241418306,0.6688491813322458, Liberia ,3,1.42
services_share,212.0,0.3446657044842715,0.12151882950288799,0.06599603825360649, Liberia ,0.2625324325379298,0.32765007870837437,0.42726999778768054,0.7583041589326155, Bermuda ,0,0.0
gdp_per_person,212.0,18480.271259809557,29177.72961073043,301.58643340396554, Yemen ,2297.843739516526,6776.025544161281,21319.91195454871,234317.0848279998, Monaco ,0,0.0
investment_per_person,211.0,4341.1899392261685,6875.746745273606,28.91167004390782, Eritrea ,559.5786536802125,1571.4677526753865,5250.910003341494,58641.81210816115, Monaco ,1,0.47
exports_per_person,212.0,11865.754893474073,27989.364418831243,26.675871248460208, Burundi ,585.6414618819745,2251.409734951615,10352.90855137143,283112.86505526956, Luxembourg ,0,0.0
imports_per_person,212.0,10837.732125329701,23148.572844138394,72.88819217825711, D.P.R. of Korea ,880.9907978611033,2795.949012121991,11525.246652651334,236188.0807919652, Luxembourg ,0,0.0
