Variable,Lower Bound,Upper Bound,Number of Outliers,Percentage
countryid,-448.25,1325.75,0,0.0
year,2021.0,2021.0,8,3.64
ama_exchange_rate,-205.16529465000002,345.49208911000005,48,21.82
imf_based_exchange_rate,-205.16529465000002,345.49208911000005,48,21.82
population,-37722164.875,66262952.125,23,10.45
per_capita_gni,-25331.5,48126.5,25,11.36
agriculture_hunting_forestry_fishing_,-11329633679.5,19942959572.5,33,15.21
changes_in_inventories,-3168699956.25,5284169685.75,34,20.24
construction_,-14899656608.5,25541684095.5,32,14.55
exports_of_goods_and_services,-78970934671.5,136352885172.5,37,16.97
final_consumption_expenditure,-172577637395.625,300346582437.375,35,15.91
general_government_final_consumption_expenditure,-43372838360.0,74971907360.0,32,14.61
gross_capital_formation,-67844439247.5,116327795304.5,32,14.61
gross_fixed_capital_formation_,-59727833164.25,102637301953.75,32,14.61
household_consumption_expenditure_,-138938871984.75,241475302137.25,34,15.53
imports_of_goods_and_services,-83109972002.25,145553223057.75,36,16.51
manufacturing_,-32310564005.875,54889613351.125,37,16.82
mining_manufacturing_utilities_,-62493785907.625,105707777159.375,30,13.64
other_activities_,-81285342793.25,140482633324.75,35,15.91
total_value_added,-248446838615.625,428268103169.375,30,13.64
transport_storage_and_communication_,-23748906584.5,40604032229.5,29,13.18
wholesale_retail_trade_restaurants_and_hotels_,-32140229634.75,55470200557.25,37,16.82
gross_national_income,-249283021753.75,431569813052.25,31,14.09
gross_domestic_product_,-262141766593.75,452885059956.25,31,14.09
export_dependency,-0.270946013087042,1.0231190554251821,11,5.05
import_dependency,-0.15608089002339903,1.0578600085246268,7,3.21
trade_openness,-0.26837822062773276,1.917324467857887,10,4.59
investment_ratio,0.03649588078537716,0.4353180855426138,4,1.83
government_share,-0.014682512839089695,0.3551064508972567,13,5.94
household_share,0.17969844294123172,1.0740591730139717,4,1.83
agriculture_share,-0.20381716595105576,0.3980293449000535,4,1.84
services_share,0.011810930607107861,0.6751733229890022,3,1.36
gdp_per_person,-25517.548153034033,48373.91233670173,27,12.27
investment_per_person,-6480.430271768943,12095.948550150148,22,10.05
exports_per_person,-14040.65102662122,24889.39376553642,25,11.47
imports_per_person,-15027.397076525322,27222.248365399628,19,8.72
