Variable,Skewness,Interpretation
countryid,-0.001,Approximately Symmetric
year,-5.6,Highly Left Skewed
ama_exchange_rate,12.321,Highly Right Skewed
imf_based_exchange_rate,7.214,Highly Right Skewed
population,8.713,Highly Right Skewed
per_capita_gni,3.923,Highly Right Skewed
agriculture_hunting_forestry_fishing_,11.432,Highly Right Skewed
changes_in_inventories,7.421,Highly Right Skewed
construction_,9.033,Highly Right Skewed
exports_of_goods_and_services,5.997,Highly Right Skewed
final_consumption_expenditure,10.283,Highly Right Skewed
general_government_final_consumption_expenditure,8.177,Highly Right Skewed
gross_capital_formation,10.062,Highly Right Skewed
gross_fixed_capital_formation_,10.015,Highly Right Skewed
household_consumption_expenditure_,10.937,Highly Right Skewed
imports_of_goods_and_services,6.325,Highly Right Skewed
manufacturing_,10.544,Highly Right Skewed
mining_manufacturing_utilities_,10.182,Highly Right Skewed
other_activities_,10.796,Highly Right Skewed
total_value_added,9.435,Highly Right Skewed
transport_storage_and_communication_,10.279,Highly Right Skewed
wholesale_retail_trade_restaurants_and_hotels_,10.188,Highly Right Skewed
gross_national_income,9.273,Highly Right Skewed
gross_domestic_product_,9.256,Highly Right Skewed
export_dependency,2.269,Highly Right Skewed
import_dependency,1.976,Highly Right Skewed
trade_openness,2.409,Highly Right Skewed
investment_ratio,0.587,Moderately Right Skewed
government_share,3.021,Highly Right Skewed
household_share,0.541,Moderately Right Skewed
agriculture_share,1.681,Highly Right Skewed
services_share,0.56,Moderately Right Skewed
gdp_per_person,3.608,Highly Right Skewed
investment_per_person,3.847,Highly Right Skewed
exports_per_person,5.824,Highly Right Skewed
imports_per_person,5.772,Highly Right Skewed
