Variable,Observations,Mean,Median,Std Dev,Min,Max,Skewness,Kurtosis,Lower Bound (1.5 IQR),Upper Bound (1.5 IQR),Outlier Count
ama_exchange_rate,212,1318.119,8.72,8152.592,0.302,111636.628,12.097,161.062,-246.587,414.528,47
imf_based_exchange_rate,212,966.542,8.72,4051.023,0.302,42000.0,7.079,59.164,-246.587,414.528,46
population,212,37185528.146,6792908.5,142719756.386,4417.0,1425893465.0,8.743,82.295,-36434229.375,63845295.625,22
per_capita_gni,212,18080.514,6755.0,28811.164,301.0,234317.0,3.865,21.677,-26384.375,50218.625,25
agriculture_hunting_forestry_fishing_,209,19898616616.115,2663295502.0,102293539942.142,232469.0,1350000000000.0,11.349,141.744,-11306229667.0,19903952885.0,31
changes_in_inventories,164,4083658959.573,342654696.0,16594914889.554,-20823814374.0,171000000000.0,7.336,66.49,-3159281798.75,5278518791.25,33
construction_,212,24997741957.995,1413215795.0,112040406707.225,4493067.0,1240000000000.0,8.884,86.814,-15264901398.125,26183384610.875,30
exports_of_goods_and_services,212,129738163996.425,10025444928.0,370761387996.757,7329761.0,3530000000000.0,5.916,43.887,-93183059154.75,160279720789.25,35
final_consumption_expenditure,212,326205981850.434,21746541433.5,1540935498898.026,92442786.0,19300000000000.0,10.101,115.739,-184370278007.5,321422166804.5,32
general_government_final_consumption_expenditure,211,77656161932.554,4303314920.0,325986460279.958,40894791.0,3350000000000.0,8.035,72.063,-44354870906.5,76681566741.5,31
gross_capital_formation,211,122064119898.085,6377385153.0,637165479654.182,16406317.0,7600000000000.0,9.882,105.765,-72397613934.25,123996794343.75,29
gross_fixed_capital_formation_,211,118929823080.19,6030055500.0,627592756687.178,16406317.0,7430000000000.0,9.836,104.351,-64402520681.25,110591264360.75,31
household_consumption_expenditure_,211,249700678328.867,16845415414.0,1228937284116.205,36555798.0,15900000000000.0,10.741,129.926,-144278408728.75,250922475465.25,32
imports_of_goods_and_services,212,125757847076.292,11284811400.5,373165470003.492,56973355.0,3400000000000.0,6.239,46.902,-84543189434.25,148967232103.75,35
manufacturing_,212,72817182669.387,3279906683.5,387373562418.92,560350.0,4870000000000.0,10.369,119.384,-32189849557.75,54817184682.25,36
mining_manufacturing_utilities_,212,97460814229.538,5966761081.5,470208841305.721,1324205.0,5780000000000.0,10.006,111.256,-68920178673.75,116507747438.25,27
other_activities_,212,190913238728.708,8633529234.5,1007326335792.184,29391113.0,12900000000000.0,10.601,125.945,-89130067325.0,154116386061.0,31
total_value_added,212,431935282732.698,24879960670.0,2074002954040.184,57663323.0,23300000000000.0,9.267,92.629,-259893358247.5,449536014948.5,26
transport_storage_and_communication_,212,39908758479.618,2050475826.0,202189282205.219,2554040.0,2490000000000.0,10.092,112.554,-23955201644.875,41161098298.125,29
wholesale_retail_trade_restaurants_and_hotels_,212,59305741958.759,3885970151.0,286312149633.897,5332543.0,3520000000000.0,10.006,111.302,-36906247626.75,63541658395.25,32
gross_national_income,212,452116053186.741,26089956375.5,2101674005848.47,71572379.0,23600000000000.0,9.108,90.547,-257538952121.25,447723371272.75,29
gross_domestic_product_,212,452238285615.509,28016641859.0,2086733481673.836,60170178.0,23300000000000.0,9.091,89.996,-275951297366.25,477170778419.75,30
export_dependency,212,0.433,0.345,0.341,0.047,2.117,2.298,7.188,-0.259,1.021,11
import_dependency,212,0.498,0.426,0.298,0.048,1.989,2.047,6.195,-0.151,1.053,7
trade_openness,212,0.931,0.801,0.609,0.103,4.024,2.454,8.217,-0.231,1.888,11
investment_ratio,211,0.242,0.233,0.085,0.038,0.572,0.6,1.083,0.038,0.433,4
government_share,211,0.188,0.168,0.11,0.04,0.929,3.103,14.252,-0.015,0.355,12
household_share,211,0.632,0.619,0.182,0.11,1.405,0.56,1.681,0.185,1.066,4
agriculture_share,209,0.106,0.065,0.113,0.0,0.669,1.771,4.193,-0.202,0.393,4
services_share,212,0.345,0.328,0.122,0.066,0.758,0.553,0.481,0.015,0.674,3
gdp_per_person,212,18480.271,6776.026,29177.73,301.586,234317.085,3.551,18.022,-26235.259,49853.014,24
investment_per_person,211,4341.19,1571.468,6875.747,28.912,58641.812,3.797,21.618,-6477.418,12287.907,22
exports_per_person,212,11865.755,2251.41,27989.364,26.676,283112.865,5.756,45.227,-14065.259,25003.809,25
imports_per_person,212,10837.732,2795.949,23148.573,72.888,236188.081,5.718,45.406,-15085.393,27491.63,19
